date_declaration,loi
2024-07-26,Q-2
2024-07-16,"Q-2, r. 7"
2024-06-14,"Q-2, r. 26"
2024-06-03,Q-2
2024-05-30,Q-2
2024-05-30,Q-2
2024-05-27,Q-2
2024-05-22,Q-2
2024-05-22,Q-2
2024-05-22,Q-2
2024-05-22,Q-2
2024-05-22,Q-2
2024-05-15,Q-2
2024-05-15,Q-2
2024-05-15,Q-2
2024-05-15,"Q-2, r. 26"
2024-05-15,"Q-2, r. 26"
2024-05-15,Q-2
2024-05-15,Q-2
2024-05-15,Q-2
2024-05-15,Q-2
2024-05-15,Q-2
2024-05-15,Q-2
2024-04-30,Q-2
2024-04-26,Q-2
2024-04-26,Q-2
2024-04-04,Q-2
2024-04-04,Q-2
2024-04-04,Q-2
2024-04-04,Q-2
2024-04-04,Q-2
2024-04-03,Q-2
2024-03-26,Q-2
2024-03-11,Q-2
2024-03-11,Q-2
2024-03-11,Q-2
2024-03-11,Q-2
2024-03-11,Q-2
2024-03-11,Q-2
2024-02-12,Q-2
2024-02-09,Q-2
2024-01-29,Q-2
2024-01-17,Q-2
2024-01-15,Q-2
2024-01-10,Q-2
2024-01-10,Q-2
2024-01-08,Q-2
2023-12-20,Q-2
2023-12-20,Q-2
2023-12-20,Q-2
2023-12-19,"P-9.3, r. 2"
2023-12-19,P-9.3
2023-12-18,P-9.3
2023-12-14,Q-2
2023-12-08,Q-2
2023-12-07,Q-2
2023-11-23,Q-2
2023-11-21,"Q-2, r. 32"
2023-11-20,"Q-2, r. 34.1"
2023-11-17,"Q-2, r. 40"
2023-11-17,"Q-2, r. 40"
2023-11-02,"Q-2, r. 26"
2023-10-27,Q-2
2023-10-27,Q-2
2023-10-18,Q-2
2023-10-18,Q-2
2023-10-18,Q-2
2023-10-12,Q-2
2023-10-03,Q-2
2023-09-19,Q-2
2023-08-23,Q-2
2023-07-07,P-9.3
2023-06-28,E-12.01
2023-06-22,Q-2
2023-06-22,"Q-2, r. 33"
2023-05-05,Q-2
2023-05-05,Q-2
2023-04-25,Q-2
2023-04-12,"P-9.3, r. 2"
2023-03-31,"P-9.3, r. 2"
2023-03-31,"P-9.3, r. 2"
2023-03-31,"P-9.3, r. 2"
2023-03-31,P-9.3
2023-03-31,"P-9.3, r. 2"
2023-02-23,Q-2
2023-02-23,Q-2
2023-02-23,Q-2
2023-02-21,"Q-2, r. 33"
2023-02-03,E-12.01
2023-01-20,E-12.01
2023-01-18,C-61.01
2023-01-12,Q-2
2023-01-12,Q-2
2023-01-04,"Q-2, r. 33"
2022-12-09,"Q-2, r. 33"
2022-12-09,"P-9.3, r. 1"
2022-12-09,"P-9.3, r. 1"
2022-12-08,Q-2
2022-11-29,"Q-2, r. 37"
2022-11-23,"Q-2, r. 33"
2022-11-17,Q-2
2022-11-14,Q-2
2022-11-10,Q-2
2022-11-01,"Q-2, r. 32"
2022-11-01,"Q-2, r. 32"
2022-10-20,Q-2
2022-10-20,Q-2
2022-10-20,Q-2
2022-10-20,Q-2
2022-10-20,Q-2
2022-10-20,Q-2
2022-09-29,Q-2
2022-09-20,Q-2
2022-09-20,Q-2
2022-09-12,"Q-2, r. 33"
2022-09-07,Q-2
2022-09-07,Q-2
2022-09-07,Q-2
2022-09-07,Q-2
2022-09-07,Q-2
2022-09-01,Q-2
2022-09-01,Q-2
2022-08-29,"Q-2, r. 33"
2022-08-29,Q-2
2022-07-22,Q-2
2022-06-23,Q-2
2022-06-17,Q-2
2022-06-17,"Q-2, r. 40"
2022-06-03,Q-2
2022-06-03,Q-2
2022-06-03,Q-2
2022-06-03,Q-2
2022-06-03,Q-2
2022-06-03,Q-2
2022-06-03,Q-2
2022-06-03,Q-2
2022-06-03,Q-2
2022-06-03,Q-2
2022-06-01,Q-2
2022-06-01,Q-2
2022-06-01,Q-2
2022-06-01,Q-2
2022-05-31,Q-2
2022-05-16,"Q-2, r. 26"
2022-05-16,"Q-2, r. 26"
2022-05-12,Q-2
2022-05-12,Q-2
2022-05-12,Q-2
2022-05-12,Q-2
2022-05-11,Q-2
2022-05-11,Q-2
2022-05-11,Q-2
2022-04-27,Q-2
2022-04-27,Q-2
2022-04-20,Q-2
2022-04-20,Q-2
2022-04-20,Q-2
2022-04-19,"Q-2, r. 26"
2022-04-07,Q-2
2022-04-07,Q-2
2022-04-07,"Q-2, r. 7"
2022-04-07,"Q-2, r. 7"
2022-04-05,Q-2
2022-04-05,Q-2
2022-03-31,Q-2
2022-03-25,Q-2
2022-03-24,"P-9.3, r. 1"
2022-02-17,Q-2
2022-02-15,Q-2
2022-01-31,"Q-2, r. 33"
2022-01-28,"Q-2, r. 33"
2022-01-26,Q-2
2022-01-25,Q-2
2022-01-25,Q-2
2022-01-19,Q-2
2022-01-19,Q-2
2022-01-13,Q-2
2022-01-13,Q-2
2022-01-13,Q-2
2022-01-07,Q-2
2021-12-16,Q-2
2021-12-16,"Q-2, r. 28.1"
2021-12-16,Q-2
2021-12-16,Q-2
2021-12-01,"Q-2, r. 19"
2021-12-01,"Q-2, r. 19"
2021-12-01,Q-2
2021-12-01,Q-2
2021-12-01,Q-2
2021-12-01,Q-2
2021-12-01,Q-2
2021-12-01,Q-2
2021-12-01,Q-2
2021-12-01,Q-2
2021-12-01,Q-2
2021-12-01,Q-2
2021-12-01,Q-2
2021-12-01,Q-2
2021-11-08,"S-3.1.01, r.1"
2021-11-04,"Q-2, r. 33"
2021-11-01,"Q-2, r. 33"
2021-10-28,Q-2
2021-10-28,Q-2
2021-10-22,Q-2
2021-10-22,Q-2
2021-10-18,Q-2
2021-10-18,Q-2
2021-10-18,Q-2
2021-10-18,Q-2
2021-10-18,"Q-2, r. 4.1"
2021-10-18,"Q-2, r. 4.1"
2021-10-18,Q-2
2021-10-12,Q-2
2021-10-12,Q-2
2021-09-23,Q-2
2021-09-23,Q-2
2021-09-22,"Q-2, r. 37"
2021-09-21,"Q-2, r. 26"
2021-09-12,"Q-2, r. 33"
2021-08-31,Q-2
2021-08-31,Q-2
2021-08-31,Q-2
2021-08-31,Q-2
2021-08-30,"Q-2, r. 33"
2021-08-30,"Q-2, r. 33"
2021-08-27,Q-2
2021-08-27,Q-2
2021-08-27,"Q-2, r. 40"
2021-08-26,Q-2
2021-08-18,"Q-2, r. 33"
2021-08-17,P-9.3
2021-07-29,E-12.01
2021-07-29,Q-2
2021-07-27,Q-2
2021-07-27,Q-2
2021-07-27,Q-2
2021-07-27,Q-2
2021-07-27,Q-2
2021-07-13,Q-2
2021-06-30,"Q-2, r. 33"
2021-06-29,"Q-2, r. 27"
2021-06-29,"Q-2, r. 27"
2021-06-29,"Q-2, r. 27"
2021-06-29,"Q-2, r. 27"
2021-06-22,"Q-2, r. 33"
2021-06-21,Q-2
2021-06-21,Q-2
2021-06-09,Q-2
2021-06-08,"Q-2, r. 33"
2021-06-02,"Q-2, r. 26"
2021-06-01,Q-2
2021-05-28,Q-2
2021-05-27,Q-2
2021-05-11,Q-2
2021-05-11,Q-2
2021-04-22,"Q-2, r. 22"
2021-04-15,P-9.3
2021-04-15,Q-2
2021-04-09,"P-9.3, r. 2"
2021-04-09,P-9.3
2021-04-09,"P-9.3, r. 2"
2021-04-06,Q-2
2021-03-23,Q-2
2021-03-15,Q-2
2021-03-15,Q-2
2021-03-09,Q-2
2021-03-05,Q-2
2021-03-05,Q-2
2021-02-25,"P-9.3, r. 1"
2021-02-25,"P-9.3, r. 1"
2021-02-18,Q-2
2021-02-10,Q-2
2021-02-10,Q-2
2021-02-10,Q-2
2021-02-09,Q-2
2021-02-04,Q-2
2021-01-27,Q-2
2021-01-27,Q-2
2021-01-27,Q-2
2021-01-19,Q-2
2021-01-18,"Q-2, r. 26"
2021-01-18,"Q-2, r. 26"
2021-01-18,"Q-2, r. 26"
2021-01-07,Q-2
2021-01-07,Q-2
2021-01-07,Q-2
2021-01-07,Q-2
2021-01-05,"Q-2, r. 35.2"
2020-12-15,Q-2
2020-12-15,Q-2
2020-12-11,Q-2
2020-12-11,Q-2
2020-12-04,C-61.1
2020-12-02,Q-2
2020-12-02,Q-2
