date_imposition,numero_sanction,montant,remarque
402368939,2024-07-25,"5 000,00 $", 
402372222,2024-07-25,"3 500,00 $", 
402339696,2024-07-24,"5 000,00 $", 
402343174,2024-07-24,"2 000,00 $", 
402331837,2024-07-24,"2 500,00 $", 
402372477,2024-07-24,"1 500,00 $", 
402372441,2024-07-24,"1 500,00 $", 
402372215,2024-07-24,"1 500,00 $", 
402372600,2024-07-24,"1 500,00 $", 
402372551,2024-07-24,"1 500,00 $", 
402372620,2024-07-24,"1 500,00 $", 
402372342,2024-07-24,"1 500,00 $", 
402342528,2024-07-23,"2 500,00 $", 
402345575,2024-07-23,"10 000,00 $",Une demande de réexamen a été reçue le 29 août 2024. 
402371328,2024-07-23,"1 000,00 $",Les manquements ont été commis en 2021. 
402364570,2024-07-22,"5 000,00 $",Une demande de réexamen a été reçue le 21 août 2024. 
402308038,2024-07-22,"5 000,00 $",Une demande de réexamen a été reçue le 13 août 2024. 
402355023,2024-07-22,"2 500,00 $", 
402307488,2024-07-22,"5 000,00 $", 
402326700,2024-07-19,"10 000,00 $", 
402377141,2024-07-19,"5 000,00 $", 
402343046,2024-07-19,"5 000,00 $", 
402358445,2024-07-19,"2 000,00 $",Une demande de réexamen a été reçue le 20 août 2024. 
402323003,2024-07-19,"1 000,00 $", 
402342661,2024-07-18,"5 000,00 $", 
402362191,2024-07-18,"5 000,00 $", 
402337126,2024-07-18,"5 000,00 $",Une demande de réexamen a été reçue le 31 juillet 2024. 
402360343,2024-07-17,"5 000,00 $", 
402325405,2024-07-17,"1 000,00 $", 
402308429,2024-07-17,"7 500,00 $", 
402346276,2024-07-17,"1 000,00 $", 
402367940,2024-07-17,"10 000,00 $", 
402346442,2024-07-17,"1 000,00 $", 
402318143,2024-07-17,"10 000,00 $", 
402366217,2024-07-17,"5 000,00 $",Une demande de réexamen a été reçue le 22 août 2024. 
402370822,2024-07-16,"5 000,00 $", 
402344002,2024-07-16,"3 500,00 $",Une demande de réexamen a été reçue le 12 août 2024. 
402316115,2024-07-16,"2 500,00 $", 
402321695,2024-07-16,"1 500,00 $", 
402302620,2024-07-15,"1 500,00 $", 
402337682,2024-07-15,"5 000,00 $", 
402336098,2024-07-12,"5 000,00 $",Une demande de réexamen a été reçue le 9 août 2024. 
402291858,2024-07-12,"2 500,00 $", 
402314513,2024-07-11,"2 500,00 $", 
402332808,2024-07-11,"5 000,00 $",Une demande de réexamen a été reçue le 31 juillet 2024. 
402303285,2024-07-11,"5 000,00 $", 
402332076,2024-07-11,"2 500,00 $", 
402367249,2024-07-11,"5 000,00 $", 
402340169,2024-07-11,"10 000,00 $",Une demande de réexamen a été reçue le 12 août 2024. 
402346467,2024-07-10,"5 000,00 $", 
402302978,2024-07-09,"5 000,00 $", 
402355903,2024-07-09,"7 500,00 $", 
402338224,2024-07-09,"10 000,00 $", 
402301075,2024-07-09,"2 500,00 $", 
402318654,2024-07-09,"2 500,00 $", 
402345000,2024-07-09,"2 500,00 $", 
402366930,2024-07-08,"2 500,00 $", 
402369628,2024-07-08,"1 000,00 $", 
402352507,2024-07-08,"5 000,00 $",Une demande de réexamen a été reçue le 31 juillet 2024. 
402304818,2024-07-04,"5 000,00 $", 
402352959,2024-07-04,"1 000,00 $", 
402357720,2024-07-03,"2 500,00 $", 
402367260,2024-07-03,"2 000,00 $",Une demande de réexamen a été reçue le 23 juillet 2024. 
402313893,2024-06-27,"10 000,00 $",Une demande de réexamen a été reçue le 13 août 2024. La décision du Bureau de réexamen a été rendue le 26 septembre 2024. La demande de réexamen hors délai ne peut être admise. La sanction administrative pécuniaire est maintenue. 
402349276,2024-06-26,"10 000,00 $",Une demande de réexamen a été reçue le 26 juillet 2024. 
402365241,2024-06-26,"1 000,00 $", 
402359311,2024-06-25,"5 000,00 $", 
402325619,2024-06-25,"10 000,00 $", 
402332812,2024-06-25,"3 500,00 $", 
402329916,2024-06-25,"5 000,00 $", 
402321480,2024-06-21,"5 000,00 $",Une demande de réexamen a été reçue le 22 juillet 2024. 
402289531,2024-06-20,"2 500,00 $", 
402354380,2024-06-20,"5 000,00 $",Une demande de réexamen a été reçue le 5 juillet 2024. 
402304390,2024-06-20,"5 000,00 $", 
402334790,2024-06-20,"5 000,00 $", 
402358728,2024-06-20,"10 000,00 $",Une demande de réexamen a été reçue le 12 août 2024. 
402325648,2024-06-20,"5 000,00 $", 
402291609,2024-06-19,"5 000,00 $", 
402352517,2024-06-19,"500,00 $", 
402271823,2024-06-19,"1 000,00 $", 
402286207,2024-06-18,"5 000,00 $",Une demande de réexamen a été reçue le 3 juillet 2024. 
402362777,2024-06-18,"3 500,00 $", 
402305472,2024-06-17,"2 000,00 $", 
402358180,2024-06-17,"5 000,00 $", 
402283013,2024-06-14,"7 500,00 $", 
402342658,2024-06-14,"10 000,00 $",Une demande de réexamen a été reçue le 25 juin 2024. 
402315475,2024-06-14,"1 000,00 $", 
402314852,2024-06-14,"5 000,00 $",Une demande de réexamen a été reçue le 10 juillet 2024. 
402350607,2024-06-14,"5 000,00 $", 
402343595,2024-06-14,"2 500,00 $", 
402298466,2024-06-13,"2 500,00 $", 
402265166,2024-06-13,"2 500,00 $", 
402334971,2024-06-13,"3 500,00 $", 
402314105,2024-06-13,"10 000,00 $",Une demande de réexamen a été reçue le 12 juillet 2024. 
402312863,2024-06-12,"5 000,00 $",Une demande de réexamen a été reçue le 12 juillet 2024. 
402354214,2024-06-12,"1 000,00 $", 
402359431,2024-06-11,"1 000,00 $",Une demande de réexamen a été reçue le 11 juillet 2024. 
402358480,2024-06-11,"3 500,00 $", 
402358220,2024-06-11,"5 000,00 $", 
402329159,2024-06-06,"10 000,00 $",Une demande de réexamen a été reçue le 10 juillet 2024. 
402356114,2024-06-06,"1 000,00 $", 
402323107,2024-06-06,"2 500,00 $", 
402321025,2024-06-06,"10 000,00 $",Une demande de réexamen a été reçue le 4 juillet 2024. 
402324881,2024-06-06,"7 500,00 $",Une demande de réexamen a été reçue le 24 juin 2024. 
402327486,2024-06-06,"750,00 $", 
402355868,2024-06-06,"3 500,00 $", 
402340356,2024-06-05,"5 000,00 $", 
402348760,2024-06-05,"5 000,00 $", 
402310330,2024-06-05,"10 000,00 $",Une demande de réexamen a été reçue le 21 juin 2024. 
402335054,2024-06-04,"2 500,00 $", 
402322494,2024-06-04,"2 500,00 $", 
402330076,2024-05-30,"5 000,00 $", 
402350860,2024-05-30,"3 500,00 $", 
402349049,2024-05-30,"3 500,00 $", 
402338657,2024-05-30,"10 000,00 $", 
402347535,2024-05-29,"5 000,00 $", 
402309667,2024-05-29,"5 000,00 $", 
402349747,2024-05-29,"10 000,00 $", 
402307228,2024-05-28,"5 000,00 $", 
402343780,2024-05-23,"1 500,00 $", 
402346698,2024-05-22,"5 000,00 $",Une demande de réexamen a été reçue le 6 juin 2024. 
402336265,2024-05-22,"7 500,00 $", 
402317301,2024-05-22,"2 500,00 $", 
402335219,2024-05-22,"10 000,00 $",Une demande de réexamen a été reçue le 26 juin 2024. 
402274669,2024-05-22,"1 000,00 $", 
402278688,2024-05-22,"1 000,00 $", 
402328401,2024-05-21,"1 000,00 $",Une demande de réexamen a été reçue le 14 juin 2024.  
402348677,2024-05-21,"5 000,00 $", 
402350479,2024-05-16,"2 500,00 $", 
402334792,2024-05-16,"2 500,00 $", 
402342519,2024-05-16,"1 000,00 $", 
402352441,2024-05-15,"3 500,00 $", 
402309796,2024-05-15,"2 500,00 $", 
402294259,2024-05-15,"5 000,00 $", 
402237987,2024-05-15,"1 000,00 $", 
402315423,2024-05-15,"10 000,00 $", 
402259090,2024-05-15,"5 000,00 $", 
402284649,2024-05-14,"2 500,00 $", 
402310039,2024-05-14,"5 000,00 $", 
402341446,2024-05-14,"2 500,00 $", 
402335369,2024-05-14,"5 000,00 $",Une demande de réexamen a été reçue le 14 juin 2024. 
